Source,Target,Type,Weight,Commands
proc::c:/windows/system32/services.exe,proc::c:/windows/system32/svchost.exe,spawned,261,C:\Windows\system32\svchost.exe -k LocalService | C:\Windows\System32\svchost.exe -k termsvcs | C:\Windows\system32\svchost.exe -k DcomLaunch | C:\Windows\System32\svchost.exe -k smbsvcs | C:\Windows\System32\svchost.exe -k smbsvcs
proc::c:/windows/system32/services.exe,proc::c:/program files/splunkuniversalforwarder/bin/splunkd.exe,spawned,115,"""C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"" service | ""C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"" service | ""C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"" service | ""C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"" service | ""C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"" service"
proc::c:/windows/system32/services.exe,proc::c:/program files/amazon/ssm/amazon-ssm-agent.exe,spawned,58,"""C:\Program Files\Amazon\SSM\amazon-ssm-agent.exe"" | ""C:\Program Files\Amazon\SSM\amazon-ssm-agent.exe"" | ""C:\Program Files\Amazon\SSM\amazon-ssm-agent.exe"" | ""C:\Program Files\Amazon\SSM\amazon-ssm-agent.exe"" | ""C:\Program Files\Amazon\SSM\amazon-ssm-agent.exe"""
proc::c:/windows/system32/services.exe,proc::c:/windows/system32/vds.exe,spawned,52,C:\Windows\System32\vds.exe | C:\Windows\System32\vds.exe | C:\Windows\System32\vds.exe | C:\Windows\System32\vds.exe | C:\Windows\System32\vds.exe
proc::c:/windows/system32/services.exe,proc::c:/windows/system32/dfsrs.exe,spawned,52,C:\Windows\system32\DFSRs.exe | C:\Windows\system32\DFSRs.exe | C:\Windows\system32\DFSRs.exe | C:\Windows\system32\DFSRs.exe | C:\Windows\system32\DFSRs.exe
proc::c:/windows/system32/services.exe,proc::c:/windows/system32/dns.exe,spawned,52,C:\Windows\system32\dns.exe | C:\Windows\system32\dns.exe | C:\Windows\system32\dns.exe | C:\Windows\system32\dns.exe | C:\Windows\system32\dns.exe
proc::c:/windows/system32/services.exe,proc::c:/windows/system32/dfssvc.exe,spawned,52,C:\Windows\system32\dfssvc.exe | C:\Windows\system32\dfssvc.exe | C:\Windows\system32\dfssvc.exe | C:\Windows\system32\dfssvc.exe | C:\Windows\system32\dfssvc.exe
proc::c:/windows/system32/services.exe,proc::c:/program files/amazon/xentools/liteagent.exe,spawned,58,"""C:\Program Files\Amazon\XenTools\LiteAgent.exe"" | ""C:\Program Files\Amazon\XenTools\LiteAgent.exe"" | ""C:\Program Files\Amazon\XenTools\LiteAgent.exe"" | ""C:\Program Files\Amazon\XenTools\LiteAgent.exe"" | ""C:\Program Files\Amazon\XenTools\LiteAgent.exe"""
proc::c:/windows/system32/services.exe,proc::c:/windows/adws/microsoft.activedirectory.webservices.exe,spawned,51,C:\Windows\ADWS\Microsoft.ActiveDirectory.WebServices.exe | C:\Windows\ADWS\Microsoft.ActiveDirectory.WebServices.exe | C:\Windows\ADWS\Microsoft.ActiveDirectory.WebServices.exe | C:\Windows\ADWS\Microsoft.ActiveDirectory.WebServices.exe | C:\Windows\ADWS\Microsoft.ActiveDirectory.WebServices.exe
proc::c:/windows/system32/services.exe,proc::c:/windows/system32/ismserv.exe,spawned,51,C:\Windows\System32\ismserv.exe | C:\Windows\System32\ismserv.exe | C:\Windows\System32\ismserv.exe | C:\Windows\System32\ismserv.exe | C:\Windows\System32\ismserv.exe
proc::c:/windows/system32/services.exe,proc::c:/program files (x86)/nxlog/nxlog.exe,spawned,18,"""C:\Program Files (x86)\nxlog\nxlog.exe"" -c ""C:\Program Files (x86)\nxlog\conf\nxlog.conf"" | ""C:\Program Files (x86)\nxlog\nxlog.exe"" -c ""C:\Program Files (x86)\nxlog\conf\nxlog.conf"" | ""C:\Program Files (x86)\nxlog\nxlog.exe"" -c ""C:\Program Files (x86)\nxlog\conf\nxlog.conf"" | ""C:\Program Files (x86)\nxlog\nxlog.exe"" -c ""C:\Program Files (x86)\nxlog\conf\nxlog.conf"" | ""C:\Program Files (x86)\nxlog\nxlog.exe"" -c ""C:\Program Files (x86)\nxlog\conf\nxlog.conf"""
proc::c:/windows/system32/services.exe,proc::c:/windows/system32/spoolsv.exe,spawned,60,C:\Windows\System32\spoolsv.exe | C:\Windows\System32\spoolsv.exe | C:\Windows\System32\spoolsv.exe | C:\Windows\System32\spoolsv.exe | C:\Windows\System32\spoolsv.exe
proc::c:/windows/system32/services.exe,proc::c:/windows/servicing/trustedinstaller.exe,spawned,77,C:\Windows\servicing\TrustedInstaller.exe | C:\Windows\servicing\TrustedInstaller.exe | C:\Windows\servicing\TrustedInstaller.exe | C:\Windows\servicing\TrustedInstaller.exe | C:\Windows\servicing\TrustedInstaller.exe
proc::c:/windows/system32/services.exe,proc::c:/users/admini~1/appdata/local/temp/644c305e-30f4-470b-b616-d924c3206d1d.exe,spawned,1,C:\Users\ADMINI~1\AppData\Local\Temp\644c305e-30f4-470b-b616-d924c3206d1d.exe -S
proc::c:/windows/system32/services.exe,proc::c:/windows/system32/msdtc.exe,spawned,57,C:\Windows\System32\msdtc.exe | C:\Windows\System32\msdtc.exe | C:\Windows\System32\msdtc.exe | C:\Windows\System32\msdtc.exe | C:\Windows\System32\msdtc.exe
proc::c:/windows/system32/services.exe,proc::c:/windows/system32/vssvc.exe,spawned,12,C:\Windows\system32\vssvc.exe | C:\Windows\system32\vssvc.exe | C:\Windows\system32\vssvc.exe | C:\Windows\system32\vssvc.exe | C:\Windows\system32\vssvc.exe
proc::c:/windows/system32/services.exe,proc::c:/windows/system32/msiexec.exe,spawned,8,C:\Windows\system32\msiexec.exe /V | C:\Windows\system32\msiexec.exe /V | C:\Windows\system32\msiexec.exe /V | C:\Windows\system32\msiexec.exe /V | C:\Windows\system32\msiexec.exe /V
proc::c:/windows/system32/services.exe,proc::c:/program files/common files/microsoft shared/clicktorun/officeclicktorun.exe,spawned,3,"""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe"" /service | ""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe"" /service | ""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe"" /service"
proc::c:/windows/system32/services.exe,proc::c:/program files (x86)/microsoft/microsoft search in bing/microsoftsearchinbing.exe,spawned,3,"""C:\Program Files (x86)\Microsoft\Microsoft Search in Bing\MicrosoftSearchInBing.exe"" | ""C:\Program Files (x86)\Microsoft\Microsoft Search in Bing\MicrosoftSearchInBing.exe"" | ""C:\Program Files (x86)\Microsoft\Microsoft Search in Bing\MicrosoftSearchInBing.exe"""
proc::c:/windows/system32/services.exe,proc:://127.0.0.1/admin$/4cd3ee7.exe,spawned,1,\\127.0.0.1\ADMIN$\4cd3ee7.exe
proc::c:/windows/system32/services.exe,proc:://127.0.0.1/admin$/31a4b3e.exe,spawned,1,\\127.0.0.1\ADMIN$\31a4b3e.exe
